temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2.26,100,2970000,-1.4421358,2.080869e+08,0.16329721,40911615,0.62856306,11.132085,140.24632,2.1795138,62.055894
2.2625,100,2970000,-1.4367905,2.0655186e+08,0.084361718,39572459,0.61722214,11.516552,147.61427,2.2498072,65.243876
2.265,100,2970000,-1.4299654,2.0460279e+08,-0.30611423,37013633,0.59056457,12.268265,213.6982,2.3913698,94.347993
2.2675,100,2970000,-1.4236258,2.0279434e+08,-0.1075058,35012475,0.57173498,12.331187,232.43861,2.3983375,102.50876
2.27,100,2970000,-1.4176804,2.0110827e+08,0.009439169,33427666,0.5557779,12.650939,253.87583,2.4551106,111.83957
2.2725,100,2970000,-1.4130699,1.9980496e+08,-0.03945965,32560469,0.54607117,12.831265,274.10963,2.4846299,120.6203
2.275,100,2970000,-1.4064665,1.9794148e+08,0.097308373,30551384,0.52704354,12.666436,277.38951,2.4473249,121.92945
2.2775,100,2970000,-1.4004562,1.9625543e+08,-0.15788152,28751210,0.50885161,12.766751,285.82141,2.4612947,125.49787
2.28,100,2970000,-1.3936864,1.9436437e+08,-0.032000515,26366618,0.48071624,12.818794,325.78083,2.4659114,142.88633
2.2825,100,2970000,-1.387981,1.9277628e+08,-0.02660514,24837755,0.46402153,12.714283,330.61564,2.4404522,144.84804
2.285,100,2970000,-1.3807076,1.9075928e+08,0.079757843,22405215,0.4357161,12.392221,342.03632,2.3734317,149.68767
2.2875,100,2970000,-1.3751882,1.8923696e+08,-0.042520163,20893470,0.41792439,12.271119,342.73904,2.3451032,149.83128
2.29,100,2970000,-1.370932,1.8806828e+08,0.040854955,20284221,0.40987331,12.281216,348.4608,2.341911,152.16629
2.2925,100,2970000,-1.3649607,1.8643184e+08,0.00080898808,18589524,0.3879652,12.0085,353.78241,2.2849151,154.32166
2.295,100,2970000,-1.3583752,1.8463297e+08,0.029996017,16419756,0.35990029,11.464859,346.69346,2.1767239,151.06469
2.2975,100,2970000,-1.352728,1.8309897e+08,0.028553087,15007782,0.34226462,11.165038,329.32754,2.1151889,143.34169
2.3,100,2970000,-1.3481599,1.8186425e+08,0.0063310277,14211717,0.33065864,11.074569,327.8203,2.0934914,142.53057
