Temperature,matrix_size,index,energies,magnetisation,accepted_configurations
2.4,20,722000,-494.359,180.528,77909446
2.4,20,723000,-494.352,180.507,78018513
2.4,20,724000,-494.342,180.503,78128893
2.4,20,725000,-494.342,180.473,78237330
2.4,20,726000,-494.332,180.432,78348329
2.4,20,727000,-494.33,180.461,78456714
2.4,20,728000,-494.298,180.376,78572710
2.4,20,729000,-494.289,180.37,78682945
2.4,20,730000,-494.294,180.366,78789229
2.4,20,731000,-494.297,180.371,78896107
2.4,20,732000,-494.265,180.3,79012705
2.4,20,733000,-494.268,180.305,79119838
2.4,20,734000,-494.28,180.328,79224963
2.4,20,735000,-494.296,180.37,79328552
2.4,20,736000,-494.308,180.382,79433637
2.4,20,737000,-494.315,180.393,79538970
2.4,20,738000,-494.324,180.416,79644928
2.4,20,739000,-494.332,180.42,79751087
2.4,20,740000,-494.337,180.425,79856926
2.4,20,741000,-494.338,180.406,79964405
2.4,20,742000,-494.339,180.403,80072098
2.4,20,743000,-494.326,180.342,80184496
2.4,20,744000,-494.341,180.389,80288658
2.4,20,745000,-494.356,180.424,80391844
2.4,20,746000,-494.359,180.439,80499085
2.4,20,747000,-494.358,180.436,80607331
2.4,20,748000,-494.355,180.436,80716545
2.4,20,749000,-494.359,180.453,80823557
2.4,20,750000,-494.36,180.469,80930475
2.4,20,751000,-494.344,180.424,81042587
2.4,20,752000,-494.345,180.428,81150342
2.4,20,753000,-494.351,180.444,81256279
2.4,20,754000,-494.339,180.427,81367809
2.4,20,755000,-494.329,180.4,81478609
2.4,20,756000,-494.332,180.416,81585974
2.4,20,757000,-494.311,180.369,81700098
2.4,20,758000,-494.314,180.38,81807119
2.4,20,759000,-494.316,180.374,81913462
2.4,20,760000,-494.323,180.399,82018963
2.4,20,761000,-494.313,180.369,82129892
2.4,20,762000,-494.33,180.398,82232605
2.4,20,763000,-494.307,180.344,82347035
2.4,20,764000,-494.297,180.315,82458375
2.4,20,765000,-494.29,180.29,82568675
2.4,20,766000,-494.283,180.274,82678965
2.4,20,767000,-494.306,180.324,82780351
2.4,20,768000,-494.289,180.293,82893232
2.4,20,769000,-494.29,180.297,83001139
2.4,20,770000,-494.292,180.293,83108602
2.4,20,771000,-494.295,180.28,83215316
2.4,20,772000,-494.326,180.334,83314615
2.4,20,773000,-494.342,180.379,83416911
2.4,20,774000,-494.356,180.4,83520287
2.4,20,775000,-494.345,180.365,83631992
2.4,20,776000,-494.363,180.407,83734921
2.4,20,777000,-494.364,180.416,83842776
2.4,20,778000,-494.345,180.369,83956297
2.4,20,779000,-494.369,180.396,84057460
2.4,20,780000,-494.393,180.452,84159089
2.4,20,781000,-494.4,180.464,84264349
2.4,20,782000,-494.401,180.473,84371971
2.4,20,783000,-494.397,180.463,84481056
2.4,20,784000,-494.403,180.469,84587100
2.4,20,785000,-494.397,180.46,84697050
2.4,20,786000,-494.391,180.431,84806893
2.4,20,787000,-494.43,180.51,84903456
2.4,20,788000,-494.432,180.517,85010759
2.4,20,789000,-494.449,180.543,85113495
2.4,20,790000,-494.457,180.543,85219106
2.4,20,791000,-494.44,180.512,85331760
2.4,20,792000,-494.431,180.509,85442449
2.4,20,793000,-494.429,180.502,85551216
2.4,20,794000,-494.417,180.465,85662481
2.4,20,795000,-494.428,180.505,85766609
2.4,20,796000,-494.436,180.524,85872472
2.4,20,797000,-494.468,180.589,85970779
2.4,20,798000,-494.474,180.602,86077617
2.4,20,799000,-494.441,180.525,86196093
2.4,20,800000,-494.469,180.589,86295220
2.4,20,801000,-494.45,180.535,86408359
2.4,20,802000,-494.466,180.583,86510677
2.4,20,803000,-494.459,180.57,86620482
2.4,20,804000,-494.48,180.61,86722399
2.4,20,805000,-494.473,180.6,86831782
2.4,20,806000,-494.486,180.627,86935089
2.4,20,807000,-494.485,180.619,87042906
2.4,20,808000,-494.49,180.622,87148615
2.4,20,809000,-494.519,180.693,87247506
2.4,20,810000,-494.519,180.7,87354777
2.4,20,811000,-494.503,180.672,87467802
2.4,20,812000,-494.481,180.613,87581985
2.4,20,813000,-494.468,180.599,87694138
2.4,20,814000,-494.471,180.609,87801219
2.4,20,815000,-494.493,180.646,87902707
2.4,20,816000,-494.477,180.6,88015467
2.4,20,817000,-494.463,180.554,88127321
2.4,20,818000,-494.473,180.56,88232019
2.4,20,819000,-494.497,180.61,88332753
2.4,20,820000,-494.506,180.64,88437893
2.4,20,821000,-494.51,180.628,88544475
2.4,20,822000,-494.515,180.666,88650444
2.4,20,823000,-494.539,180.723,88750758
2.4,20,824000,-494.559,180.778,88852415
2.4,20,825000,-494.55,180.748,88962917
2.4,20,826000,-494.573,180.798,89062937
2.4,20,827000,-494.577,180.813,89169840
2.4,20,828000,-494.598,180.862,89270823
2.4,20,829000,-494.594,180.871,89379845
2.4,20,830000,-494.58,180.836,89492295
2.4,20,831000,-494.574,180.827,89601363
2.4,20,832000,-494.588,180.872,89704678
2.4,20,833000,-494.566,180.812,89819628
2.4,20,834000,-494.549,180.774,89932415
2.4,20,835000,-494.544,180.794,90041575
2.4,20,836000,-494.554,180.826,90146534
2.4,20,837000,-494.571,180.857,90249803
2.4,20,838000,-494.562,180.862,90359992
2.4,20,839000,-494.566,180.861,90466744
2.4,20,840000,-494.584,180.898,90569576
2.4,20,841000,-494.554,180.816,90686393
2.4,20,842000,-494.541,180.814,90798650
2.4,20,843000,-494.561,180.854,90900113
2.4,20,844000,-494.557,180.863,91009260
2.4,20,845000,-494.572,180.897,91112931
2.4,20,846000,-494.58,180.921,91218030
2.4,20,847000,-494.595,180.949,91320856
2.4,20,848000,-494.57,180.891,91436194
2.4,20,849000,-494.555,180.871,91549146
2.4,20,850000,-494.562,180.879,91655334
2.4,20,851000,-494.546,180.852,91768412
2.4,20,852000,-494.533,180.818,91880074
2.4,20,853000,-494.545,180.84,91983635
2.4,20,854000,-494.526,180.805,92097910
2.4,20,855000,-494.545,180.837,92199482
2.4,20,856000,-494.557,180.878,92303479
2.4,20,857000,-494.572,180.906,92406542
2.4,20,858000,-494.563,180.886,92517131
2.4,20,859000,-494.562,180.881,92624969
2.4,20,860000,-494.562,180.891,92732749
2.4,20,861000,-494.537,180.817,92848356
2.4,20,862000,-494.539,180.819,92955740
2.4,20,863000,-494.549,180.85,93059863
2.4,20,864000,-494.566,180.894,93161386
2.4,20,865000,-494.581,180.928,93264529
2.4,20,866000,-494.551,180.886,93382439
2.4,20,867000,-494.563,180.911,93486656
2.4,20,868000,-494.538,180.853,93602787
2.4,20,869000,-494.532,180.844,93712392
2.4,20,870000,-494.533,180.855,93819539
2.4,20,871000,-494.508,180.8,93934646
2.4,20,872000,-494.517,180.802,94039971
2.4,20,873000,-494.518,180.824,94147341
2.4,20,874000,-494.53,180.855,94250541
2.4,20,875000,-494.546,180.88,94353591
2.4,20,876000,-494.541,180.87,94463814
2.4,20,877000,-494.546,180.848,94569900
2.4,20,878000,-494.533,180.821,94681730
2.4,20,879000,-494.502,180.763,94799812
2.4,20,880000,-494.523,180.802,94900369
2.4,20,881000,-494.523,180.785,95007827
2.4,20,882000,-494.521,180.774,95116669
2.4,20,883000,-494.517,180.784,95225523
2.4,20,884000,-494.505,180.746,95337169
2.4,20,885000,-494.511,180.754,95443303
2.4,20,886000,-494.515,180.765,95549788
2.4,20,887000,-494.533,180.794,95651636
2.4,20,888000,-494.538,180.803,95757429
2.4,20,889000,-494.552,180.829,95860653
2.4,20,890000,-494.567,180.859,95963978
2.4,20,891000,-494.599,180.921,96060702
2.4,20,892000,-494.583,180.896,96174120
2.4,20,893000,-494.565,180.853,96287932
2.4,20,894000,-494.602,180.922,96383871
2.4,20,895000,-494.608,180.942,96489392
2.4,20,896000,-494.63,180.981,96590316
2.4,20,897000,-494.633,180.986,96697172
2.4,20,898000,-494.625,180.955,96807445
2.4,20,899000,-494.615,180.945,96918141
2.4,20,900000,-494.635,180.991,97019197
2.4,20,901000,-494.627,180.947,97128924
2.4,20,902000,-494.646,180.995,97230322
2.4,20,903000,-494.636,180.972,97341044
2.4,20,904000,-494.626,180.946,97451950
2.4,20,905000,-494.617,180.913,97563084
2.4,20,906000,-494.619,180.914,97670629
2.4,20,907000,-494.649,180.974,97768631
2.4,20,908000,-494.642,180.967,97878696
2.4,20,909000,-494.624,180.937,97993088
2.4,20,910000,-494.6,180.876,98108955
2.4,20,911000,-494.583,180.838,98222107
2.4,20,912000,-494.575,180.832,98333046
2.4,20,913000,-494.589,180.867,98436223
2.4,20,914000,-494.587,180.874,98545319
2.4,20,915000,-494.581,180.867,98655323
2.4,20,916000,-494.576,180.854,98764654
2.4,20,917000,-494.584,180.877,98869057
2.4,20,918000,-494.595,180.913,98972677
2.4,20,919000,-494.591,180.906,99081588
2.4,20,920000,-494.568,180.856,99197340
2.4,20,921000,-494.566,180.848,99305887
2.4,20,922000,-494.578,180.867,99410121
2.4,20,923000,-494.582,180.879,99517113
2.4,20,924000,-494.582,180.874,99625122
2.4,20,925000,-494.587,180.873,99731447
2.4,20,926000,-494.579,180.863,99842026
2.4,20,927000,-494.577,180.862,99949798
2.4,20,928000,-494.577,180.866,100057432
2.4,20,929000,-494.563,180.822,100170043
2.4,20,930000,-494.56,180.817,100278573
2.4,20,931000,-494.548,180.792,100390721
2.4,20,932000,-494.57,180.839,100491299
2.4,20,933000,-494.589,180.88,100591849
2.4,20,934000,-494.593,180.87,100698770
2.4,20,935000,-494.609,180.9,100800873
2.4,20,936000,-494.614,180.912,100906739
2.4,20,937000,-494.611,180.924,101015465
2.4,20,938000,-494.62,180.948,101119456
2.4,20,939000,-494.623,180.962,101225769
2.4,20,940000,-494.628,180.974,101332001
2.4,20,941000,-494.614,180.946,101444747
