Omega,alpha,energy,sigma, distance
0.5,0.47,2.335446,0.66391126,3.291783
0.5,0.48,2.3134145,0.64223746,3.2572562
0.5,0.49,2.2931234,0.62200098,3.2236918
0.5,0.5,2.2740088,0.60153339,3.1922235
0.5,0.51,2.2556522,0.58289671,3.1598252
0.5,0.52,2.2386487,0.56620803,3.1294943
0.5,0.53,2.2237126,0.55004667,3.1006266
0.5,0.54,2.2089049,0.53263521,3.0713123
0.5,0.55,2.1943625,0.51816218,3.0429417
0.5,0.56,2.1811015,0.5032189,3.0151778
0.5,0.57,2.1695084,0.49185768,2.9889891
0.5,0.58,2.1577019,0.47652879,2.9624143
0.5,0.59,2.1470724,0.46511531,2.9373959
0.5,0.6,2.13685,0.45539923,2.9128068
0.5,0.61,2.1278051,0.44315812,2.8901529
0.5,0.62,2.1190766,0.43208321,2.8663605
0.5,0.63,2.1109322,0.42314776,2.8436797
0.5,0.64,2.1032441,0.41262489,2.8203191
0.5,0.65,2.0960078,0.41364301,2.7993019
0.5,0.66,2.0897625,0.39716774,2.7777588
0.5,0.67,2.0837356,0.3946978,2.757801
0.5,0.68,2.0782144,0.38454975,2.7360477
0.5,0.69,2.0733408,0.38258794,2.717198
0.5,0.7,2.0684938,0.37364159,2.6963721
0.5,0.71,2.0640378,0.36863954,2.6775244
0.5,0.72,2.0601708,0.36410876,2.659724
0.5,0.73,2.0569239,0.36176269,2.6408413
0.5,0.74,2.053898,0.35980304,2.6224474
0.5,0.75,2.051228,0.35682999,2.6067892
0.5,0.76,2.0487037,0.3560237,2.5888771
0.5,0.77,2.0467543,0.35516395,2.5721266
0.5,0.78,2.0449425,0.35683946,2.5552766
0.5,0.79,2.0431949,0.3540262,2.5398287
0.5,0.8,2.0421617,0.35762578,2.5227975
0.5,0.81,2.0412063,0.35320576,2.5073579
0.5,0.82,2.0405935,0.35526781,2.4916505
0.5,0.83,2.0400076,0.3598407,2.4775513
0.5,0.84,2.0399966,0.3691847,2.4624393
0.5,0.85,2.0400172,0.36286074,2.4483773
0.5,0.86,2.040174,0.3668204,2.4334441
0.5,0.87,2.0408703,0.36768087,2.4189577
0.5,0.88,2.0416252,0.37041145,2.4052126
0.5,0.89,2.0426136,0.3762151,2.3912668
0.5,0.9,2.0434682,0.37591583,2.3792287
0.5,0.91,2.0447587,0.38371328,2.3659936
0.5,0.92,2.0464339,0.38732851,2.3527641
0.5,0.93,2.0479188,0.39186602,2.3406329
0.5,0.94,2.0499241,0.39835873,2.3275861
0.5,0.95,2.0517872,0.43529366,2.3157548
0.5,0.96,2.0540612,0.4164841,2.3032666
0.5,0.97,2.0563657,0.40957541,2.2915283
0.5,0.98,2.0590871,0.41676192,2.2790639
0.5,0.99,2.061192,0.4206892,2.268634
0.5,1,2.0641813,0.42654472,2.2568668
0.5,1.01,2.0669237,0.43738885,2.2461266
0.5,1.02,2.0698785,0.43611954,2.2349716
0.5,1.03,2.0731328,0.4425274,2.2239137
