omega,alpha,beta,energy,sigma,distance
0.7,0.87,0.5,2.7134226,0.13831741,2.2266982
0.7,0.97,0.5,2.708802,0.11140472,2.10733
0.7,0.97,0.3,2.7022651,0.031865241,2.1963744
0.7,0.98,0.3,2.7022571,0.031593901,2.186285
0.7,0.98,0.25,2.7017187,0.019315029,2.2220121
0.7,0.99,0.25,2.7016158,0.013627068,2.2090779
0.7,0.99,0.24,2.7016021,0.014166935,2.21932
0.7,0.99,0.25,2.7016008,0.015175265,2.2077288
0.7,0.99,0.25,2.7016245,0.0136559,2.2101233
