temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2.2716667,100,5980000,-1.4141479,2.0010787e+08,-0.0090691783,32588649,0.54850676,12.645104,250.26824,2.4503786,110.16944
2.275,100,5980000,-1.4064301,1.9793255e+08,-0.03241661,30302498,0.5228108,12.798342,296.93843,2.4728109,130.52238
2.2783333,100,5980000,-1.397087,1.9531411e+08,-0.040356878,27250237,0.48998581,12.890781,324.16279,2.4833886,142.28067
2.2816667,100,5980000,-1.3892982,1.9314248e+08,-0.052913251,25080380,0.46645632,12.752186,332.22305,2.4495157,145.60543
2.285,100,5980000,-1.3816161,1.9101312e+08,0.038741027,22942553,0.44107066,12.681506,348.82196,2.4288373,152.65731
2.2883333,100,5980000,-1.3731873,1.886881e+08,0.018428784,20248582,0.40803188,12.37619,359.95804,2.3634608,157.3014
2.2916667,100,5980000,-1.3659579,1.8670503e+08,-0.010662303,18585801,0.38826989,12.092903,351.04509,2.3026487,153.18331
2.295,100,5980000,-1.3583355,1.8462434e+08,0.0015595645,16535538,0.36146776,11.680737,346.96442,2.2177105,151.18276
2.2983333,100,5980000,-1.350569,1.8251521e+08,0.011547518,14399436,0.33245782,11.15494,334.66158,2.1117437,145.61055
2.3016667,100,5980000,-1.3443406,1.8083457e+08,-0.028732709,13270066,0.31703475,10.939595,321.89621,2.0649825,139.85353
2.305,100,5980000,-1.3378792,1.7909763e+08,0.019189988,11985024,0.29828774,10.555723,308.74664,1.9867632,133.94648
2.3083333,100,5980000,-1.3315606,1.7740722e+08,0.0060100864,10880545,0.282916,10.18586,287.63987,1.9116159,124.60933
2.3116667,100,5980000,-1.3245996,1.7555287e+08,-0.003371078,9158931.9,0.2560157,9.6466703,260.45282,1.805207,112.66885
2.315,100,5980000,-1.3190463,1.7408195e+08,0.0035775622,8557494.1,0.24693852,9.3640558,245.9631,1.747278,106.24756
