omega,alpha,beta,energy,sigma,distance
5,1,1.1,16.690657,0.30191813,0.76985529
5,1.01,1.1,16.689519,0.30191813,0.76985529
5,1.01,1.1,16.689519,0.30191813,0.76985529
5,1.01,1.02,16.688791,0.30191813,0.76985529
5,1.02,1.02,16.688644,0.30191813,0.76985529
5,1.02,0.99,16.688145,0.30191813,0.76985529
5,1.02,0.9,16.687405,0.30191813,0.76985529
5,1.02,0.87,16.687291,0.30191813,0.76985529
5,1.03,0.87,16.687219,0.30191813,0.76985529
5,1.03,0.85,16.686911,0.30191813,0.76985529
5,1.03,0.83,16.686832,0.30191813,0.76985529
5,1.03,0.8,16.686586,0.30191813,0.76985529
