Index,Energy,omega,alpha
228000,3.77292,1,0.88
229000,3.77266,1,0.88
230000,3.77259,1,0.88
231000,3.77287,1,0.88
232000,3.77296,1,0.88
233000,3.77302,1,0.88
234000,3.77297,1,0.88
235000,3.77291,1,0.88
236000,3.77288,1,0.88
237000,3.77324,1,0.88
238000,3.77305,1,0.88
239000,3.77311,1,0.88
240000,3.77303,1,0.88
241000,3.77286,1,0.88
242000,3.77301,1,0.88
243000,3.77293,1,0.88
244000,3.77284,1,0.88
245000,3.77292,1,0.88
246000,3.77267,1,0.88
247000,3.77275,1,0.88
248000,3.77294,1,0.88
249000,3.77296,1,0.88
250000,3.77311,1,0.88
251000,3.77311,1,0.88
252000,3.77326,1,0.88
253000,3.77312,1,0.88
254000,3.77324,1,0.88
255000,3.77375,1,0.88
256000,3.77355,1,0.88
257000,3.7736,1,0.88
258000,3.77353,1,0.88
259000,3.77341,1,0.88
260000,3.77333,1,0.88
261000,3.77346,1,0.88
262000,3.77325,1,0.88
263000,3.77337,1,0.88
264000,3.77328,1,0.88
265000,3.77314,1,0.88
266000,3.77321,1,0.88
267000,3.7732,1,0.88
268000,3.77317,1,0.88
269000,3.77302,1,0.88
270000,3.77293,1,0.88
271000,3.77295,1,0.88
272000,3.77264,1,0.88
273000,3.77256,1,0.88
274000,3.77241,1,0.88
275000,3.77235,1,0.88
276000,3.77231,1,0.88
277000,3.77252,1,0.88
278000,3.77223,1,0.88
279000,3.77239,1,0.88
280000,3.77242,1,0.88
281000,3.77235,1,0.88
282000,3.7722,1,0.88
283000,3.77204,1,0.88
284000,3.77203,1,0.88
285000,3.77192,1,0.88
286000,3.77224,1,0.88
287000,3.77208,1,0.88
288000,3.77192,1,0.88
289000,3.77199,1,0.88
290000,3.77207,1,0.88
291000,3.7723,1,0.88
292000,3.7722,1,0.88
293000,3.77207,1,0.88
294000,3.77222,1,0.88
295000,3.77217,1,0.88
296000,3.77234,1,0.88
297000,3.77215,1,0.88
298000,3.77199,1,0.88
299000,3.77197,1,0.88
300000,3.77193,1,0.88
301000,3.77175,1,0.88
302000,3.77202,1,0.88
303000,3.77219,1,0.88
304000,3.77224,1,0.88
305000,3.77237,1,0.88
306000,3.77254,1,0.88
307000,3.77242,1,0.88
308000,3.77261,1,0.88
309000,3.77248,1,0.88
310000,3.77275,1,0.88
311000,3.77272,1,0.88
312000,3.77262,1,0.88
313000,3.77268,1,0.88
314000,3.77286,1,0.88
315000,3.77277,1,0.88
316000,3.77259,1,0.88
317000,3.77241,1,0.88
318000,3.77219,1,0.88
319000,3.77198,1,0.88
320000,3.77215,1,0.88
321000,3.772,1,0.88
322000,3.77228,1,0.88
323000,3.7723,1,0.88
324000,3.7721,1,0.88
325000,3.7719,1,0.88
326000,3.77178,1,0.88
327000,3.77185,1,0.88
328000,3.77182,1,0.88
329000,3.77177,1,0.88
330000,3.77166,1,0.88
331000,3.77161,1,0.88
332000,3.77183,1,0.88
333000,3.77191,1,0.88
334000,3.77196,1,0.88
335000,3.77212,1,0.88
