omega,alpha,beta,energy,sigma,distance
0.7,0.99,0.25,2.7016245,0,0
0.7,0.99,0.24,2.7016082,0.014131987,2.2186663
0.7,0.99,0.24,2.7016126,0.014128638,2.2183622
