omega,alpha,beta,energy,sigma,distance
0.33333333,0.99,0.18,1.3990892,0,0
0.33333333,0.99,0.17,1.3990765,0.011017697,3.397363
0.33333333,0.99,0.17,1.3990725,0.011030972,3.3965429
