n: 10000 ellapsed time: 0.001889
x: accurate_solution: approximate_solution relative_error:
0 0 0 nan
9.999000099990002e-05 0.0008994148150981429 0.0008994147401619176 8.331664549471424e-08
0.0001999800019998 0.001797830829283531 0.001797830679494266 8.331666292120584e-08
0.0002999700029997 0.002695249040758019 0.00269524881619887 8.331666041159196e-08
0.0003999600039996001 0.003591670446726036 0.003591670147479951 8.331668770324108e-08
0.0004999500049995 0.004487096043394923 0.004487095669545127 8.331664669602777e-08
0.0005999400059994001 0.005381526825977256 0.005381526377606402 8.331666250721455e-08
0.0006999300069993001 0.006274963788690302 0.006274963265881168 8.331667739676755e-08
0.0007999200079992001 0.007167407924757674 0.007167407327593194 8.331665875031939e-08
0.0008999100089991002 0.008058860226411002 0.008058859554973621 8.331666793131294e-08
0.0009999000099990001 0.008949321684889489 0.008949320939261953 8.331665367085006e-08
0.0010998900109989 0.00983879329044246 0.009838792470707054 8.331666110790712e-08
0.0011998800119988 0.01072727603232904 0.01072727513856813 8.33166694017394e-08
0.0012998700129987 0.01161477089881957 0.01161476993111571 8.331665528766923e-08
0.0013998600139986 0.01250127887719754 0.01250127783563266 8.331666621592834e-08
0.0014998500149985 0.01338680095375877 0.01338679983841516 8.331666489923811e-08
0.0015998400159984 0.01427133811381387 0.01427133692477367 8.331665819640453e-08
0.0016998300169983 0.0151548913416889 0.01515489007903393 8.331666258504995e-08
0.0017998200179982 0.01603746162072583 0.01603746028453797 8.331666820369473e-08
0.0018998100189981 0.01691904993328375 0.01691904852364503 8.33166594626027e-08
0.001999800019998 0.01779965726074062 0.0177996557777326 8.331666167593861e-08
0.0020997900209979 0.01867928458349311 0.01867928302719739 8.331666613575503e-08
0.0021997800219978 0.01955793288095797 0.01955793125145628 8.331666251332335e-08
0.002299770022997701 0.02043560313157367 0.02043560142894734 8.331666636694264e-08
0.0023997600239976 0.02131229631280029 0.02131229453713078 8.331666806858639e-08
0.0024997500249975 0.0221880134011212 0.02218801155248993 8.331666451957302e-08
0.002599740025997401 0.02306275537204405 0.02306275345053223 8.331666302302961e-08
0.0026997300269973 0.02393652320010153 0.02393652120579021 8.33166666290744e-08
0.0027997200279972 0.02480931785885199 0.02480931579182242 8.331666271931544e-08
0.002899710028997101 0.02568114032088142 0.02568113818121446 8.331666498081722e-08
0.002999700029997001 0.02655199155780319 0.02655198934557992 8.331666061050945e-08
