type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
badMonteCarlo,yes,4,10000,0.00326701,1.88746,8.79147,1.77237
goodMonteCarlo,yes,4,10000,0.00497585,0.194318,0.00805361,0.00981441
badMonteCarlo,yes,4,100000,0.0275761,0.196867,0.0212774,0.019043
goodMonteCarlo,yes,4,100000,0.0383268,0.18907,0.0191742,0.00286038
badMonteCarlo,yes,4,100000,0.0282246,0.162933,0.154762,0.0111799
goodMonteCarlo,yes,4,100000,0.0385405,0.195907,0.0162947,0.00337055
badMonteCarlo,yes,4,1000000,0.108904,0.19123,0.00796919,0.00714137
goodMonteCarlo,yes,4,1000000,0.170784,0.193277,0.00265484,0.00101945
badMonteCarlo,yes,4,10000000,0.879547,0.195409,0.0137113,0.00301679
goodMonteCarlo,yes,4,10000000,1.28855,0.193133,0.00190478,0.000329013
badMonteCarlo,yes,4,100000000,8.9861,0.192379,0.00200574,0.000985017
goodMonteCarlo,yes,4,100000000,12.9245,0.192687,0.00040899,0.000104449
badMonteCarlo,yes,4,1000000000,88.9652,0.191958,0.00419211,0.000328989
goodMonteCarlo,yes,4,1000000000,142.223,0.192804,0.00019951,3.35014e-05
gauleg,yes,1,10,0.039189,0.129834,0.326466,0
gaulag,yes,1,10,0.108559,0.177081,0.0813679,0
gauleg,yes,1,15,0.427768,0.199475,0.0348043,0
gaulag,yes,1,15,1.12603,0.193285,0.00269565,0
gauleg,yes,1,20,2.39663,0.177065,0.0814488,0
gaulag,yes,1,20,7.32098,0.194786,0.0104784,0
gauleg,yes,1,30,27.2283,0.185796,0.0361583,0
gaulag,yes,1,30,81.7673,0.194779,0.010443,0
gauleg,yes,4,10,0.0164274,0.129834,0.326466,0
gaulag,yes,4,10,0.0707031,0.177081,0.0813679,0
gauleg,yes,4,15,0.117215,0.199475,0.0348043,0
gaulag,yes,4,15,0.420164,0.193285,0.00269565,0
gauleg,yes,4,20,0.736509,0.177065,0.0814488,0
gaulag,yes,4,20,1.91504,0.194786,0.0104784,0
gauleg,yes,4,25,3.04232,0.18911,0.018967,0
gaulag,yes,4,25,7.89325,0.194804,0.0105751,0
gauleg,yes,4,30,8.22862,0.185796,0.0361583,0
gaulag,yes,4,30,24.2013,0.194779,0.010443,0
gauleg,yes,4,40,55.8587,0.18867,0.0212464,0
gaulag,yes,4,40,143.011,0.194669,0.009873,0
gauleg,yes,4,45,93.9764,0.190128,0.0136823,0
gaulag,yes,4,45,264.219,0.194594,0.00948246,0
badMonteCarlo,yes,1,1000,0.00049,0.188961,0.0197385,0.0782638
goodMonteCarlo,yes,1,1000,0.000772,0.165117,0.14343,0.0213778
badMonteCarlo,yes,1,10000,0.004844,0.13978,0.274872,0.0237329
goodMonteCarlo,yes,1,10000,0.007178,0.19016,0.0135173,0.00846132
badMonteCarlo,yes,1,100000,0.04829,0.235638,0.222404,0.0639008
goodMonteCarlo,yes,1,100000,0.070589,0.194468,0.00882909,0.00310555
badMonteCarlo,yes,1,1000000,0.38618,0.188342,0.0229475,0.00707623
goodMonteCarlo,yes,1,1000000,0.41589,0.192871,0.000548605,0.00102035
badMonteCarlo,yes,1,1000000,0.28501,0.187145,0.0291577,0.0070415
goodMonteCarlo,yes,1,1000000,0.416151,0.193256,0.00254234,0.00123525
badMonteCarlo,yes,1,1000000,0.284911,0.194403,0.00849143,0.00778424
