type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
goodMonteCarlo,no,1,10000,0.0042,0.187606,0.0267678,0.00918991
badMonteCarlo,no,1,100000,0.028746,0.193441,0.00350401,0.0252367
goodMonteCarlo,no,1,100000,0.041905,0.19386,0.00567827,0.00284313
badMonteCarlo,no,1,1000000,0.283444,0.203304,0.0546693,0.0088221
goodMonteCarlo,no,1,1000000,0.413339,0.191775,0.00514144,0.000971095
badMonteCarlo,no,1,1000000,0.283646,0.204072,0.0586521,0.00974426
goodMonteCarlo,no,1,1000000,0.414132,0.193972,0.00625952,0.00107126
badMonteCarlo,no,1,1000000,0.283522,0.197505,0.0245869,0.0128717
goodMonteCarlo,no,1,1000000,0.413556,0.192134,0.00327511,0.0010327
badMonteCarlo,no,1,10000000,2.92798,0.193923,0.00600374,0.00316878
goodMonteCarlo,no,1,10000000,4.54917,0.192922,0.000809902,0.000328964
badMonteCarlo,no,4,1000,0.000364902,0.0774338,0.598301,0.0264623
goodMonteCarlo,no,4,1000,0.000633361,0.189081,0.0191126,0.0254541
badMonteCarlo,no,4,10000,0.00321751,0.161019,0.164693,0.039916
goodMonteCarlo,no,4,10000,0.00492841,0.204449,0.060609,0.0100786
badMonteCarlo,no,4,100000,0.0297103,0.20088,0.0420923,0.0245752
goodMonteCarlo,no,4,100000,0.0312323,0.19555,0.0144446,0.00385969
badMonteCarlo,no,4,100000,0.0216747,0.173372,0.100609,0.0160003
goodMonteCarlo,no,4,100000,0.0344553,0.193185,0.00217496,0.00326549
badMonteCarlo,no,4,1000000,0.10014,0.208172,0.0799205,0.0107137
goodMonteCarlo,no,4,1000000,0.191219,0.192824,0.000300124,0.00104044
badMonteCarlo,no,4,10000000,0.892811,0.19134,0.00739728,0.00273482
goodMonteCarlo,no,4,10000000,1.27716,0.192293,0.00245338,0.000314785
badMonteCarlo,no,4,100000000,8.37737,0.192738,0.000145579,0.00102308
goodMonteCarlo,no,4,100000000,12.6533,0.192625,0.000732183,0.000102755
badMonteCarlo,no,4,1000000000,85.2351,0.192182,0.00302997,0.000332262
goodMonteCarlo,no,4,1000000000,129.149,0.192763,1.32325e-05,3.29455e-05
gauleg,no,1,10,0.064252,0.129834,0.326466,0
gaulag,no,1,10,0.182154,0.177081,0.0813679,0
gauleg,no,1,15,0.726966,0.199475,0.0348043,0
gaulag,no,1,15,1.1763,0.193285,0.00269565,0
gauleg,no,1,20,2.39488,0.177065,0.0814488,0
gaulag,no,1,20,6.30082,0.194786,0.0104784,0
gauleg,no,1,30,27.2648,0.185796,0.0361583,0
gaulag,no,1,30,71.1288,0.194779,0.010443,0
gauleg,no,4,10,0.0281244,0.129834,0.326466,0
gaulag,no,4,10,0.0489918,0.177081,0.0813679,0
gauleg,no,4,15,0.134326,0.199475,0.0348043,0
gaulag,no,4,15,0.399776,0.193285,0.00269565,0
gauleg,no,4,20,0.732153,0.177065,0.0814488,0
gaulag,no,4,20,1.88096,0.194786,0.0104784,0
gauleg,no,4,25,2.56769,0.18911,0.018967,0
gaulag,no,4,25,7.10422,0.194804,0.0105751,0
gauleg,no,4,30,7.68583,0.185796,0.0361583,0
gaulag,no,4,30,22.1681,0.194779,0.010443,0
gauleg,no,4,40,45.8267,0.18867,0.0212464,0
gaulag,no,4,40,137.375,0.194669,0.009873,0
gauleg,no,4,45,93.9312,0.190128,0.0136823,0
gaulag,no,4,45,261.296,0.194594,0.00948246,0
badMonteCarlo,no,1,1000,0.000489,0.374648,0.943543,0.214245
goodMonteCarlo,no,1,1000,0.000854,0.187138,0.0291962,0.0237594
badMonteCarlo,no,1,10000,0.00487,0.262282,0.360624,0.0938869
goodMonteCarlo,no,1,10000,0.007572,0.20684,0.0730111,0.0105553
badMonteCarlo,no,1,100000,0.048839,0.175224,0.0909987,0.0137572
goodMonteCarlo,no,1,100000,0.071417,0.19113,0.0084831,0.0029471
badMonteCarlo,no,1,1000000,0.307376,0.1881,0.0242035,0.00690084
goodMonteCarlo,no,1,1000000,0.415489,0.193696,0.00482536,0.00103152
badMonteCarlo,no,1,1000000,0.284376,0.175897,0.0875069,0.00596636
goodMonteCarlo,no,1,1000000,0.416243,0.192489,0.00143763,0.00106102
badMonteCarlo,no,1,1000000,0.287572,0.185661,0.0368579,0.00789017
goodMonteCarlo,no,1,1000000,0.415119,0.191577,0.00616788,0.00101013
badMonteCarlo,no,1,10000000,2.82938,0.191291,0.00764924,0.00327461
goodMonteCarlo,no,1,10000000,4.20026,0.192569,0.00101939,0.000321019
badMonteCarlo,no,4,1000,0.000114822,0.14222,0.262212,0.0692878
goodMonteCarlo,no,4,1000,0.000501118,0.172764,0.103763,0.0259942
badMonteCarlo,no,4,10000,0.00322386,0.132825,0.31095,0.0270853
goodMonteCarlo,no,4,10000,0.0050038,0.189897,0.014883,0.00739141
badMonteCarlo,no,4,100000,0.0266684,0.234856,0.218347,0.0364836
goodMonteCarlo,no,4,100000,0.0272904,0.192013,0.00390552,0.00284139
badMonteCarlo,no,4,100000,0.0215222,0.163789,0.150319,0.0170641
goodMonteCarlo,no,4,100000,0.0340198,0.197913,0.026704,0.00374424
badMonteCarlo,no,4,1000000,0.104679,0.193621,0.0044365,0.00855472
goodMonteCarlo,no,4,1000000,0.191184,0.191256,0.00783431,0.000984483
badMonteCarlo,no,4,10000000,0.886553,0.188192,0.023725,0.00291612
goodMonteCarlo,no,4,10000000,1.29273,0.192532,0.00120999,0.000326371
badMonteCarlo,no,4,100000000,8.37854,0.192116,0.0033709,0.000956839
goodMonteCarlo,no,4,100000000,12.666,0.19272,0.000238625,0.000105211
badMonteCarlo,no,4,1000000000,84.3749,0.192554,0.00109977,0.000325788
goodMonteCarlo,no,4,1000000000,129.34,0.192773,3.80173e-05,3.27433e-05
gauleg,no,1,10,0.039064,0.129834,0.326466,0
gaulag,no,1,10,0.110116,0.177081,0.0813679,0
gauleg,no,1,15,0.428042,0.199475,0.0348043,0
gaulag,no,1,15,1.14013,0.193285,0.00269565,0
gauleg,no,1,20,2.91166,0.177065,0.0814488,0
gaulag,no,1,20,6.88333,0.194786,0.0104784,0
gauleg,no,1,30,27.7808,0.185796,0.0361583,0
gaulag,no,1,30,72.1105,0.194779,0.010443,0
gauleg,no,4,10,0.0355624,0.129834,0.326466,0
gaulag,no,4,10,0.0480142,0.177081,0.0813679,0
gauleg,no,4,15,0.13605,0.199475,0.0348043,0
gaulag,no,4,15,0.410174,0.193285,0.00269565,0
gauleg,no,4,20,0.732139,0.177065,0.0814488,0
gaulag,no,4,20,1.88952,0.194786,0.0104784,0
gauleg,no,4,25,2.5812,0.18911,0.018967,0
gaulag,no,4,25,7.67797,0.194804,0.0105751,0
gauleg,no,4,30,7.99488,0.185796,0.0361583,0
gaulag,no,4,30,22.611,0.194779,0.010443,0
gauleg,no,4,40,46.6566,0.18867,0.0212464,0
gaulag,no,4,40,139.592,0.194669,0.009873,0
gauleg,no,4,45,91.343,0.190128,0.0136823,0
gaulag,no,4,45,256.153,0.194594,0.00948246,0
badMonteCarlo,no,1,1000,0.000288,0.0612267,0.682378,0.0186123
goodMonteCarlo,no,1,1000,0.0005,0.154176,0.200189,0.0197081
badMonteCarlo,no,1,10000,0.00304,0.243777,0.26463,0.0992521
goodMonteCarlo,no,1,10000,0.004371,0.182423,0.0536525,0.00697534
badMonteCarlo,no,1,100000,0.029872,0.193322,0.00288461,0.0210391
goodMonteCarlo,no,1,100000,0.042917,0.197018,0.0220574,0.00350051
badMonteCarlo,no,1,1000000,0.285077,0.182915,0.0511013,0.00669675
goodMonteCarlo,no,1,1000000,0.6744,0.193962,0.00620741,0.0011018
badMonteCarlo,no,1,1000000,0.482011,0.196914,0.0215174,0.00899831
goodMonteCarlo,no,1,1000000,0.451413,0.192071,0.00360341,0.000998243
badMonteCarlo,no,1,1000000,0.287261,0.191829,0.00486051,0.00973233
goodMonteCarlo,no,1,1000000,0.415646,0.191075,0.00876958,0.000994729
badMonteCarlo,no,1,10000000,2.82123,0.197759,0.025905,0.00298405
goodMonteCarlo,no,1,10000000,4.13301,0.192449,0.00164547,0.000332753
badMonteCarlo,no,4,1000,0.000408095,0.0944329,0.510116,0.0351122
goodMonteCarlo,no,4,1000,0.00065093,0.2498,0.295871,0.0325764
badMonteCarlo,no,4,10000,0.00319541,0.103579,0.462666,0.0148002
goodMonteCarlo,no,4,10000,0.00489933,0.18999,0.0143982,0.00936786
badMonteCarlo,no,4,100000,0.02588,0.173393,0.100498,0.0160923
goodMonteCarlo,no,4,100000,0.0363391,0.190625,0.0111033,0.00289264
badMonteCarlo,no,4,100000,0.0273815,0.212477,0.102253,0.0414714
goodMonteCarlo,no,4,100000,0.0356085,0.19619,0.0177623,0.00304138
badMonteCarlo,no,4,1000000,0.111005,0.19751,0.0246132,0.0102133
goodMonteCarlo,no,4,1000000,0.183148,0.193374,0.0031548,0.00100754
badMonteCarlo,no,4,10000000,0.883417,0.192632,0.000694903,0.00270779
goodMonteCarlo,no,4,10000000,1.27071,0.192729,0.000190832,0.000337173
badMonteCarlo,no,4,100000000,8.42581,0.19197,0.00412855,0.000989629
goodMonteCarlo,no,4,100000000,12.5599,0.192687,0.000406241,0.000104198
badMonteCarlo,no,4,1000000000,84.7468,0.191975,0.00410402,0.000327597
goodMonteCarlo,no,4,1000000000,129.236,0.192772,3.06114e-05,3.28156e-05
